page_video_repeat_views,page_video_views_unique,page_video_views_click_to_play,page_video_views_autoplayed,page_video_views_organic,page_video_views,page_consumptions_unique,page_consumptions,page_engaged_users,page_posts_impressions_viral_unique,page_posts_impressions_viral,page_posts_impressions_organic_unique,page_posts_impressions_organic,page_posts_impressions_unique,page_posts_impressions,page_impressions_viral_unique,page_impressions_viral,page_impressions_organic_unique,page_impressions_organic,page_impressions_unique,page_impressions,page_views_logout,page_views_login_unique,page_views_login,page_views_unique,page_views,Date,Pageid,Pagename,page_video_complete_views_30s_unique,page_video_complete_views_30s_click_to_play,page_video_complete_views_30s_organic,page_video_complete_views_30s,page_fan_removes_unique,page_fan_removes,page_video_complete_views_30s_repeat_views,page_video_complete_views_30s_autoplayed,page_fan_adds_unique,page_fan_adds,page_negative_feedback_unique,page_negative_feedback,page_video_complete_views_30s_paid,page_video_views_paid,page_posts_impressions_paid_unique,page_posts_impressions_paid,page_impressions_paid_unique,page_impressions_paid,page_places_checkin_total_unique,page_places_checkin_total
390,7778,89,8079,8168,8168,24986,24986,21823,28898,37634,179575,282590,597123,820169,31690,42379,180883,287382,599986,825345,86,1331,384,1769,1769,3/26/18,1.40326E+11,Bass Pro Shops,1408,57,1408,1408,378,380,55,1351,1054,1034,83,96,,,432548,537579,432548,537579,,
68,2667,30,2705,2735,2735,14863,14863,13705,30619,41381,144235,276999,608441,865486,32894,45492,146643,281290,609579,870140,64,1157,363,1512,1512,3/27/18,1.40326E+11,Bass Pro Shops,455,22,455,455,420,420,9,433,915,931,78,97,,,474941,588487,474941,588487,,
46,1541,27,1560,1587,1587,14073,14073,12827,30513,41290,137470,269863,772935,1001789,37529,51656,144278,280543,779932,1013489,76,1247,1009,2272,2272,3/28/18,1.40326E+11,Bass Pro Shops,284,19,284,284,400,402,1,265,1078,1088,76,88,,,624132,731926,624132,731937,,
100,338,33,405,438,438,10460,10460,10949,27850,37008,108480,188252,775705,996106,33427,44994,113943,196445,782518,1004708,105,1202,408,1606,1606,3/29/18,1.40326E+11,Bass Pro Shops,83,18,83,83,419,430,6,65,932,940,59,78,,,673864,807854,673864,807855,,
56,210,15,251,266,266,7067,7067,7545,18959,25251,101090,213807,532596,745576,20463,27534,103955,216916,535845,749005,96,1362,320,1835,1835,3/30/18,1.40326E+11,Bass Pro Shops,26,5,26,26,383,390,1,21,707,722,71,92,,,439040,531769,439040,531769,,
65,210,10,265,275,275,6701,6701,7382,14889,20109,106246,205850,564071,776501,16237,22225,107600,208256,564791,779210,87,1396,303,1786,1786,3/31/18,1.40326E+11,Bass Pro Shops,29,6,29,29,360,371,2,23,783,774,53,62,,,465118,570651,465118,570651,,
38,144,12,170,182,182,2830,2830,2689,8814,11680,126801,222082,179067,282547,16923,25081,134013,235535,186331,296360,166,896,363,1340,1340,4/1/18,1.40326E+11,Bass Pro Shops,27,8,27,27,355,353,2,19,413,416,70,92,,,55140,60465,55140,60465,,
568,9108,75,9601,9676,9676,4081,4081,3319,8378,11771,152092,390471,197293,442599,12793,18283,157481,397292,201591,449743,73,657,323,1075,1075,4/2/18,1.40326E+11,Bass Pro Shops,666,33,666,666,377,382,15,633,303,303,99,154,,,47650,52128,47650,52128,,
2626,20933,1326,22233,23559,23559,5146,5146,4957,8652,12023,132507,288881,227715,404930,9824,13694,133433,290623,228000,407050,64,600,378,914,914,4/3/18,1.40326E+11,Bass Pro Shops,2693,368,2693,2693,444,462,141,2325,343,343,75,92,,,94599,116049,94599,116049,,
492,9559,79,9972,10051,10051,3124,3124,2967,5475,7614,72133,121236,223727,295238,7996,12092,74963,125732,225644,300085,87,617,351,960,960,4/4/18,1.40326E+11,Bass Pro Shops,883,49,883,883,430,431,26,834,372,375,53,66,,,147432,174002,147432,174002,,
167,2726,23,2870,2893,2893,4792,4792,4684,12643,17016,112825,219597,316097,464939,15530,21993,115589,224595,318184,470339,77,634,402,1007,1007,4/5/18,1.40326E+11,Bass Pro Shops,212,16,212,212,445,445,10,196,369,383,62,81,,,204554,245342,204554,245342,,
70,1362,22,1410,1432,1432,3895,3895,3948,15573,21371,94202,155300,632335,737939,17552,24235,95940,158234,634083,741246,79,657,373,971,971,4/6/18,1.40326E+11,Bass Pro Shops,104,12,104,104,362,364,4,92,377,385,54,66,,,531302,582639,531302,582639,,
30,593,27,596,623,623,3210,3210,3624,11091,15517,109544,228927,374497,543232,12379,17664,110541,231106,376087,545764,107,747,353,1105,1105,4/7/18,1.40326E+11,Bass Pro Shops,85,15,85,85,430,429,19,70,431,429,50,55,,,267392,314305,267392,314305,,
67,861,23,905,928,928,4325,4325,3968,5461,7659,132445,318906,182493,377251,6731,9836,133761,321274,183475,379976,82,603,357,996,996,4/8/18,1.40326E+11,Bass Pro Shops,92,12,92,92,424,426,3,80,313,315,51,74,,,48381,58345,48381,58345,,
20325,44126,2601,61850,64451,64451,8230,8230,6844,7053,10299,126192,318746,169319,370979,10432,17352,128619,325803,171296,378508,91,660,472,1056,1056,4/9/18,1.40326E+11,Bass Pro Shops,7220,690,7220,7220,419,431,544,6530,319,321,126,210,,,43035,52233,43035,52233,,
26549,101585,6009,122125,128134,128134,18919,18919,14625,30959,42362,225561,397643,268129,451027,32856,45573,227433,400855,270211,454582,64,658,343,959,959,4/10/18,1.40326E+11,Bass Pro Shops,59837,4216,59837,59837,486,485,1853,55621,327,317,126,148,,,41861,53384,41861,53384,,
8318,71144,4354,75108,79462,79462,14298,14298,11341,45533,62643,162962,270274,211347,329454,47160,65281,164250,272912,212902,332455,97,596,363,918,918,4/11/18,1.40326E+11,Bass Pro Shops,39227,3316,39227,39227,495,489,1339,35911,287,290,106,139,,,47976,59180,47976,59180,,
2541,23873,1361,25053,26414,26414,5436,5436,4251,21497,28302,66932,115289,120246,180062,26639,36805,71332,123792,125215,188977,48,576,412,879,879,4/12/18,1.40326E+11,Bass Pro Shops,12805,1213,12805,12805,406,400,,11592,294,298,63,122,,,53915,64773,53915,64773,,
990,13255,919,13326,14245,14245,4266,4266,3660,13051,17085,40501,62011,136970,197421,16677,24025,43796,68951,140658,204730,93,473,369,800,800,4/13/18,1.40326E+11,Bass Pro Shops,7676,813,7676,7676,374,372,,6863,310,319,34,46,,,99729,135410,99729,135410,,
305,5486,372,5419,5791,5791,3740,3740,3696,11350,15069,34993,53289,179203,247778,16643,24233,39748,62453,182899,257283,82,613,341,926,926,4/14/18,1.40326E+11,Bass Pro Shops,2893,333,2893,2893,323,322,,2560,392,385,30,37,,,143693,194489,143693,194489,,
224,1823,173,1874,2047,2047,2726,2726,2707,6080,7888,19582,33189,168527,271587,10144,14921,24127,40323,172246,279055,98,645,334,1007,1007,4/15/18,1.40326E+11,Bass Pro Shops,950,125,950,950,354,350,35,825,343,343,28,46,,,148909,238398,148909,238398,,
252,2859,433,2678,3111,3111,4356,4356,4451,10762,15684,22037,40447,249945,397874,13155,19643,24237,44682,251656,402390,76,559,281,818,818,4/16/18,1.40326E+11,Bass Pro Shops,1669,295,1669,1669,319,314,35,1374,380,379,15,20,,,228180,357427,228180,357427,,
3037,47716,6063,44690,39828,50753,14970,14970,13124,76153,103611,114816,186684,309435,443155,77774,108290,116438,191520,310887,448537,198,806,546,1259,1259,4/17/18,1.40326E+11,Bass Pro Shops,10927,2047,9909,10927,422,420,683,8880,392,392,125,145,1018,10925,200682,256471,200682,256471,,
687,9433,789,9331,10071,10120,5666,5666,5378,36616,46236,52529,79686,240203,324020,39636,51150,55639,84604,242860,329311,109,600,373,889,889,4/18/18,1.40326E+11,Bass Pro Shops,4177,591,4173,4177,473,482,65,3586,366,363,36,47,4,49,193553,244334,193553,244334,,
442,6201,401,6242,6643,6643,4604,4604,4408,23051,30024,32995,48154,234174,323805,27772,37144,38058,55276,239019,331283,77,445,356,750,750,4/19/18,1.40326E+11,Bass Pro Shops,2934,318,2934,2934,466,456,22,2616,369,383,23,26,,,201978,275651,201978,275651,,
836,4173,179,4830,5009,5009,4058,4058,3795,13008,17803,69020,111443,269278,386864,17824,24954,73825,118661,274926,394394,89,518,312,811,811,4/20/18,1.40326E+11,Bass Pro Shops,911,113,911,911,464,466,42,798,324,322,17,27,,,199734,275421,199734,275421,,
592,3510,123,3979,4102,4102,6977,6977,5982,8705,11425,131147,358110,358070,687723,12783,17749,136614,364632,362763,694481,89,553,236,832,832,4/21/18,1.40326E+11,Bass Pro Shops,692,86,692,692,572,568,31,606,385,384,57,81,,,229268,329613,229268,329613,,
1639,25178,1326,25491,26817,26817,12756,12756,10698,6036,7982,172284,407794,409659,797557,11203,17253,175945,417116,412689,807262,95,692,383,1095,1095,4/22/18,1.40326E+11,Bass Pro Shops,6478,813,6478,6478,512,522,124,5665,379,383,84,126,,,251277,389763,251277,389763,,
754,10856,602,11008,11610,11610,7027,7027,6366,5164,6510,107826,200402,336762,553915,11457,18100,114155,212106,342239,566090,78,686,471,1073,1073,4/23/18,1.40326E+11,Bass Pro Shops,3025,390,3025,3025,516,509,19,2635,377,376,49,70,,,233856,353513,233856,353513,,
9443,48238,2850,54831,57681,57681,10363,10363,9097,8999,12521,163607,369985,370144,711753,12418,18043,166180,375637,372012,717803,106,572,398,946,946,4/24/18,1.40326E+11,Bass Pro Shops,7261,902,7261,7261,531,515,467,6359,363,366,136,190,,,212770,341768,212770,341768,,
1368,7852,352,8868,9220,9220,9661,9661,8964,5038,6585,52477,107262,336139,529660,7128,10331,54608,111010,338374,533810,79,469,402,782,782,4/25/18,1.40326E+11,Bass Pro Shops,1031,199,1031,1031,464,473,,832,490,476,48,53,,,290492,422398,290492,422398,,
269,2077,94,2252,2346,2346,9289,9289,9075,4291,5836,57283,92198,321533,433066,6127,9092,58657,95484,322853,436752,60,511,400,801,801,4/26/18,1.40326E+11,Bass Pro Shops,301,61,301,301,551,550,16,240,438,436,36,45,,,260078,340868,260078,340868,,
59,967,53,973,1026,1026,3617,3617,3510,3279,5650,35930,54819,219209,311192,4227,7317,36618,56650,219388,313308,81,404,285,611,611,4/27/18,1.40326E+11,Bass Pro Shops,116,29,116,116,507,500,7,87,315,314,25,30,,,179294,256373,179294,256373,,
117,414,24,507,531,531,3355,3355,3274,2753,5717,36606,54655,206896,318752,6287,11572,39719,60578,209132,324884,108,409,209,630,630,4/28/18,1.40326E+11,Bass Pro Shops,73,12,73,73,446,440,3,61,264,273,23,55,,,170665,264097,170665,264097,,
67,218,28,257,285,285,3916,3916,4307,4924,8031,127056,301770,285738,556015,6466,10437,130101,304959,288279,559470,42,547,266,775,775,4/29/18,1.40326E+11,Bass Pro Shops,60,16,60,60,439,423,9,44,291,286,57,91,,,162807,254245,162807,254245,,
82,212,25,269,294,294,2479,2479,2616,5668,8663,93065,214584,132646,273297,19079,29260,105766,235496,145234,294560,58,502,351,723,723,4/30/18,1.40326E+11,Bass Pro Shops,65,14,65,65,385,399,9,51,287,281,58,77,,,43500,58713,43500,58713,,
